Server,HTTPS,Anonymous,Google,Country
185.255.47.109:8080,True,False,False,IQ
202.148.27.60:8080,False,False,False,ID
124.121.92.27:8080,False,False,False,TH
102.68.129.30:8080,True,False,False,LY
103.115.72.250:8080,True,False,False,BD
187.94.221.0:8080,False,False,False,BR
5.16.0.169:8080,False,False,False,RU
125.27.52.25:8080,True,False,True,TH
175.143.93.214:8080,True,False,False,MY
31.14.49.1:8080,False,False,False,RO
103.214.54.90:8080,False,False,False,ID
200.222.137.202:8080,True,False,False,BR
103.138.41.132:8080,False,False,False,ID
178.255.175.222:8080,True,False,True,CZ
201.91.82.155:3128,True,False,False,BR
1.0.210.114:8080,False,False,False,TH
92.255.187.180:3128,False,False,False,RU
34.123.8.141:3128,False,False,False,US
45.71.160.114:8080,False,False,False,BR
123.253.36.99:8080,True,True,False,BD
177.55.207.38:8080,False,False,False,BR
88.255.94.118:8080,True,False,True,TR
1.20.235.100:8080,True,False,True,TH
172.105.236.21:3128,False,False,True,JP
14.63.228.217:80,False,False,False,KR
195.158.223.175:8080,False,False,False,RU
182.253.69.34:8080,False,False,False,ID
43.245.85.164:8080,False,False,False,NP
190.15.198.227:8080,False,False,False,AR
36.90.169.101:8080,True,False,True,ID
103.78.25.98:3128,True,False,False,ID
195.78.93.28:3128,False,False,False,UA
188.120.229.50:3128,False,False,False,RU
45.250.226.48:8080,False,False,False,IN
154.113.69.154:8080,False,False,False,NG
103.106.115.50:3128,False,False,False,ID
102.130.192.73:8080,False,False,False,AO
176.223.60.66:8080,False,False,False,RO
14.207.27.216:8080,True,False,False,TH
183.89.0.18:8080,False,False,False,TH
1.20.217.149:8080,False,False,False,TH
186.248.191.148:3128,True,False,False,BR
182.72.150.242:8080,False,False,True,IN
5.164.201.79:8080,False,False,False,RU
172.104.61.191:8080,False,False,False,SG
36.94.47.106:3128,False,False,False,ID
120.92.118.24:8080,False,False,False,CN
46.36.132.23:8080,True,False,False,KZ
178.252.184.142:8080,False,False,False,IR
81.145.20.214:8080,True,False,False,GB
165.22.213.55:3128,False,False,True,IN
194.87.234.152:3128,True,True,True,CZ
177.223.50.6:8080,False,False,False,BR
80.28.102.26:8080,False,False,False,ES
103.101.17.172:8080,False,False,False,MM
86.123.166.109:8080,False,False,False,RO
202.169.56.11:8080,True,False,True,ID
122.155.165.191:3128,False,False,True,TH
112.78.178.22:8080,False,False,False,ID
185.194.25.77:8080,False,False,False,ES
185.231.155.30:3128,True,False,False,RU
103.124.175.139:8080,False,False,True,IN
81.211.103.66:3128,False,False,False,RU
138.68.44.24:3128,False,False,True,US
103.58.64.1:8080,False,False,True,IN
203.190.12.154:8080,True,False,False,BD
94.75.76.10:8080,True,False,False,PL
181.198.65.147:8080,True,False,True,EC
138.197.106.52:80,False,False,False,US
186.225.157.22:8080,False,False,False,BR
81.23.114.198:8080,False,False,False,RU
114.6.227.28:8080,False,False,False,ID
91.93.156.130:8080,False,False,False,TR
212.129.34.163:3128,False,False,True,FR
104.248.147.196:8080,False,False,True,SG
158.101.144.173:3128,False,False,True,JP
207.74.82.103:3128,False,False,True,US
36.90.135.159:8080,False,False,True,ID
181.211.38.138:8080,True,False,False,EC
201.168.210.123:8080,False,False,False,MX
103.217.216.10:8080,False,False,True,ID
82.147.118.174:8080,False,False,False,RU
135.181.150.136:3128,False,False,True,DE
182.93.82.191:8080,False,False,True,NP
14.207.16.111:8080,True,False,True,TH
194.25.112.249:8080,True,False,False,DE
13.56.168.219:3128,False,False,True,US
117.254.63.93:8080,False,False,False,IN
139.180.142.243:3128,False,False,True,SG
